n_lines,n_columns,n_layers,c_chunk,c_sets,c_lines,Clocks per instruction CPI,Hardware complexity
4.0,4.0,5.0,4.0,10.0,1.0,0.754079493737356,79.74513217959999
8.0,8.0,5.0,4.0,10.0,1.0,0.6298134849147152,175.10513217959996
12.0,12.0,5.0,4.0,10.0,1.0,0.5929106793309591,322.94513217959997
16.0,16.0,5.0,4.0,10.0,1.0,0.5579346998149439,523.2651321796001
24.0,24.0,5.0,4.0,10.0,1.0,0.5364513662534666,1081.3451321796
32.0,16.0,5.0,4.0,10.0,1.0,0.5294293772639833,1009.3451321795999
32.0,32.0,5.0,4.0,10.0,1.0,0.5295103733239575,1849.3451321796006
4.0,4.0,6.0,4.0,10.0,1.0,0.7422844655941041,92.54513217959997
8.0,8.0,6.0,4.0,10.0,1.0,0.6018680215830621,221.18513217959998
12.0,12.0,6.0,4.0,10.0,1.0,0.5672339491204117,422.78513217960005
16.0,16.0,6.0,4.0,10.0,1.0,0.5479746150680124,697.3451321796
24.0,24.0,6.0,4.0,10.0,1.0,0.5288781848009676,1465.3451321796001
32.0,16.0,6.0,4.0,10.0,1.0,0.5245175810619218,1357.5051321796
32.0,32.0,6.0,4.0,10.0,1.0,0.5244878046505317,2525.1851321796
